2021-08-29 10:36:32.332 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_launch_configuracion.png
2021-08-29 10:36:32.332 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_launch_contactos.png
2021-08-29 10:36:32.333 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_launch_email.png
2021-08-29 10:36:32.333 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_launch_estadisticas.png
2021-08-29 10:36:32.333 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_launch_foco_no.png
2021-08-29 10:36:32.333 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_launch_foco_si.png
2021-08-29 10:36:32.333 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_launch_galeria.png
2021-08-29 10:36:32.333 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_launch_manual.png
2021-08-29 10:36:32.333 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_launch_mapa.png
2021-08-29 10:36:32.333 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_launch_market.png
2021-08-29 10:36:32.334 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_launch_nota.png
2021-08-29 10:36:32.334 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_launch_perfil.png
2021-08-29 10:36:32.334 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_launch_reloj.png
2021-08-29 10:36:32.334 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_launch_sms.png
2021-08-29 10:36:32.334 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_launch_telefono.png
2021-08-29 10:36:32.334 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_map_pin.png
2021-08-29 10:36:32.334 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_mas.png
2021-08-29 10:36:32.334 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_menu_clear_playlist.png
2021-08-29 10:36:32.334 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_menu_equis.xml
2021-08-29 10:36:32.335 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_menu_equis_no.png
2021-08-29 10:36:32.335 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_menu_equis_si.png
2021-08-29 10:36:32.335 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_menu_info_details.png
2021-08-29 10:36:32.335 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_menu_mark.png
2021-08-29 10:36:32.335 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_menu_save.png
2021-08-29 10:36:32.335 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_menu_set_as.png
2021-08-29 10:36:32.335 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_menu_share.png
2021-08-29 10:36:32.335 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_menu_short.png
2021-08-29 10:36:32.335 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_menu_star.png
2021-08-29 10:36:32.335 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_menu_view.png
2021-08-29 10:36:32.336 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_no_qr.png
2021-08-29 10:36:32.336 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_abrir.xml
2021-08-29 10:36:32.336 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_abrir_no.png
2021-08-29 10:36:32.336 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_abrir_si.png
2021-08-29 10:36:32.336 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_amazon.xml
2021-08-29 10:36:32.336 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_amazon_no.png
2021-08-29 10:36:32.336 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_amazon_si.png
2021-08-29 10:36:32.336 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_calendario.xml
2021-08-29 10:36:32.336 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_calendario_no.png
2021-08-29 10:36:32.337 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_calendario_si.png
2021-08-29 10:36:32.337 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_contacto.xml
2021-08-29 10:36:32.337 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_contacto_no.png
2021-08-29 10:36:32.337 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_contacto_si.png
2021-08-29 10:36:32.337 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_contenido.xml
2021-08-29 10:36:32.337 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_contenido_no.png
2021-08-29 10:36:32.337 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_contenido_si.png
2021-08-29 10:36:32.337 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_correo.xml
2021-08-29 10:36:32.337 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_correo_no.png
2021-08-29 10:36:32.337 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_correo_si.png
2021-08-29 10:36:32.338 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_google.xml
2021-08-29 10:36:32.338 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_google2.xml
2021-08-29 10:36:32.338 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_google2_no.png
2021-08-29 10:36:32.338 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_google2_si.png
2021-08-29 10:36:32.338 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_google_no.png
2021-08-29 10:36:32.338 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_google_si.png
2021-08-29 10:36:32.338 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_indica.xml
2021-08-29 10:36:32.338 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_indica_no.png
2021-08-29 10:36:32.338 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_indica_si.png
2021-08-29 10:36:32.338 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_libro.xml
2021-08-29 10:36:32.338 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_libro_no.png
2021-08-29 10:36:32.339 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_libro_si.png
2021-08-29 10:36:32.339 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_llamar.xml
2021-08-29 10:36:32.339 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_llamar_no.png
2021-08-29 10:36:32.339 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_llamar_si.png
2021-08-29 10:36:32.339 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_mapa.xml
2021-08-29 10:36:32.339 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_mapa_no.png
2021-08-29 10:36:32.339 [main] INFO  edu.cwru.android.ui.APKResourceResolver - +ENTRY: res/drawable/ic_opc_accion_mapa_si.png
